section,chn_title,en_title,country,year,length,count,price,screen_time,screen_location
“天坛奖”主竞赛,安纳托利亚豹,Anatolian Leopard,土耳其/波兰/丹麦/德国,2021,108,3,70,2022-08-14 20:20:00,英嘉国际影城（金源NEW CINITY店）4号厅
“天坛奖”主竞赛,安纳托利亚豹,Anatolian Leopard,土耳其/波兰/丹麦/德国,2021,108,3,70,2022-08-16 15:45:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,安纳托利亚豹,Anatolian Leopard,土耳其/波兰/丹麦/德国,2021,108,3,70,2022-08-02 15:00:00,卢米埃影城（长楹天街IMAX店）三号厅
“天坛奖”主竞赛,珍妮热线,Call Jane,美国,2022,121,3,70,2022-08-15 20:50:00,北京剧院大剧场激光4K厅
“天坛奖”主竞赛,珍妮热线,Call Jane,美国,2022,121,3,70,2022-08-16 19:30:00,中间影院剧场厅
“天坛奖”主竞赛,珍妮热线,Call Jane,美国,2022,121,3,70,2022-08-17 15:45:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,速度与爱情,Fast & Feel Love,泰国,2022,132,3,70,2022-08-15 17:45:00,中国电影资料馆艺术影院1号厅
“天坛奖”主竞赛,速度与爱情,Fast & Feel Love,泰国,2022,132,3,70,2022-08-17 13:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,速度与爱情,Fast & Feel Love,泰国,2022,132,3,70,2022-08-21 15:30:00,深影国际影城（学院南路店）1号厅
“天坛奖”主竞赛,全职,Full Time,法国,2021,87,3,70,2022-08-16 21:00:00,北京地质礼堂一号厅
“天坛奖”主竞赛,全职,Full Time,法国,2021,87,3,70,2022-08-18 13:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,全职,Full Time,法国,2021,87,3,70,2022-08-19 16:00:00,中间影院剧场厅
“天坛奖”主竞赛,海的尽头是草原,In Search of Lost Time,中国,2022,123.0,1,70,2022-08-13 16:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,回西藏,Kong and Jigme,中国,2022.0,110.0,3,70,2022-08-14 18:30:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,回西藏,Kong and Jigme,中国,2022.0,110.0,3,70,2022-08-16 18:30:00,百老汇电影中心（万国城店）1号厅
“天坛奖”主竞赛,回西藏,Kong and Jigme,中国,2022.0,110.0,3,70,2022-08-21 13:00:00,寰映影城（合生汇店）7号厅
“天坛奖”主竞赛,杰伊·比姆,Jai Bhim,印度,2021.0,164,3,70,2022-08-13 12:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,杰伊·比姆,Jai Bhim,印度,2021.0,164,3,70,2022-08-19 10:00:00,中国电影资料馆艺术影院1号厅
“天坛奖”主竞赛,杰伊·比姆,Jai Bhim,印度,2021.0,164,3,70,2022-08-02 20:00:00,北京地质礼堂一号厅
“天坛奖”主竞赛,追月,Off the Stage,中国,2022.0,123.0,3,70,2022-08-13 18:30:00,百老汇电影中心（万国城店）1号厅
“天坛奖”主竞赛,追月,Off the Stage,中国,2022.0,123.0,3,70,2022-08-14 13:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,追月,Off the Stage,中国,2022.0,123.0,3,70,2022-08-17 15:30:00,寰映影城（合生汇店）7号厅
“天坛奖”主竞赛,妈妈！,Song of Spring,中国,2022.0,109,1,70,2022-08-19 13:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,一个不愿观看《泰坦尼克号》的盲人,The Blind Man Who Did Not Want to See Titanic,芬兰,2021.0,82,3,70,2022-08-18 15:45:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,一个不愿观看《泰坦尼克号》的盲人,The Blind Man Who Did Not Want to See Titanic,芬兰,2021.0,82,3,70,2022-08-02 18:30:00,中国电影资料馆艺术影院1号厅
“天坛奖”主竞赛,一个不愿观看《泰坦尼克号》的盲人,The Blind Man Who Did Not Want to See Titanic,芬兰,2021.0,82,3,70,2022-08-21 14:00:00,中间影院剧场厅
“天坛奖”主竞赛,入学考试,The Exam,德国/伊拉克/卡塔尔,2021.0,89.0,3,70,2022-08-14 15:45:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,入学考试,The Exam,德国/伊拉克/卡塔尔,2021.0,89.0,3,70,2022-08-17 18:30:00,卢米埃影城（长楹天街IMAX店）三号厅
“天坛奖”主竞赛,入学考试,The Exam,德国/伊拉克/卡塔尔,2021.0,89.0,3,70,2022-08-19 18:30:00,中间影院剧场厅
“天坛奖”主竞赛,真正的家人,The Family,法国,2021.0,102.0,3,70,2022-08-18 18:30:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,真正的家人,The Family,法国,2021.0,102.0,3,70,2022-08-02 20:30:00,卢米埃影城（长楹天街IMAX店）三号厅
“天坛奖”主竞赛,真正的家人,The Family,法国,2021.0,102.0,3,70,2022-08-21 13:00:00,北京地质礼堂一号厅
“天坛奖”主竞赛,好老板,The Good Boss,西班牙,2021.0,120,3,70,2022-08-13 19:00:00,万达影城（CBD万达广场店）9号PRIME厅
“天坛奖”主竞赛,好老板,The Good Boss,西班牙,2021.0,120,3,70,2022-08-16 15:30:00,北京地质礼堂一号厅
“天坛奖”主竞赛,好老板,The Good Boss,西班牙,2021.0,120,3,70,2022-08-21 20:30:00,UME影城（华星IMAX店）2号IMAX厅
“天坛奖”主竞赛,印度刺客,Sardar Udham,印度,2020.0,163,3,70,2022-08-14 15:00:00,卢米埃影城（长楹天街IMAX店）三号厅
